catalog,id,name,relationship,relative,relativename
Russia,Q101077271,Ruslan Viktorovich Kondratov,father,Q70250998,Viktor Kondratov
Russia,Q102435754,,father,Q3820134,Vladimir Govorov
Russia,Q103813305,Konstantin Sevenard,father,Q15081060,Yury Sevenard
Russia,Q105105146,Marina Rogachyova,father,Q1143350,Yegor Stroyev
Russia,Q106274168,Andrey Anikeev,relative,Q4066230,Grigory Anikeyev
Russia,Q106734231,Larisa Ponomaryova,child,Q4371978,Ilya Ponomarev
Russia,Q106734231,Larisa Ponomaryova,spouse,Q70248527,Владимир Николаевич Пономарёв
Russia,Q108040998,Andrey Artyukhov,child,Q55105854,Dmitry Artyukhov
Russia,Q108684903,Anton Krasnoshtanov,father,Q60220292,Aleksey Krasnoshtanov
Russia,Q108685717,Andrey Trifonov,sibling,Q112625085,Sergey Trifonov
Russia,Q108691440,Roza Chemeris,mother,Q28497365,Elmira Glubokovskaya
Russia,Q108691440,Roza Chemeris,stepparent,Q28497366,Mikhail Gloubokovsky
Russia,Q108807795,Nurbagand Nurbagandov,child,Q26959934,Magomed Nurbagandov
Russia,Q108886260,Angelika Egorovna Glazkova,spouse,Q55122121,Nikolai Platoshkin
Russia,Q108897335,Aleksey Govyrin,spouse,Q231590,Irina Slutskaya
Russia,Q108899086,Alla Polyakova,sibling,Q4074398,Mikhail Babich
Russia,Q111383871,Vadim Artyukhov,father,Q4070368,Vitaly Artyukhov
Russia,Q111956526,Yriy Zaytsev,child,Q177232,son
Russia,Q1192630,Vyacheslav Shtyrov,father,Q15868908,Anatoliĭ Shtyrov
Russia,Q133318,Marat Safin,mother,Q7296273,Rauza Islanova
Russia,Q133318,Marat Safin,sibling,Q1029664,Dinara Safina
Russia,Q1344473,Vladimir Kolokoltsev,child,Q112674281,Alexander Kolokoltsev
Russia,Q1346607,Mikhail Gutseriyev,sibling,Q110893340,"Гуцериев, Хамзат Сафарбекович"
Russia,Q1346607,Mikhail Gutseriyev,sibling,Q4153081,Sait-Salam Gutseriyev
Russia,Q1377159,Stanislav Govorukhin,child,Q4140923,Sergey Govorukhin
Russia,Q1377159,Stanislav Govorukhin,spouse,Q55107077,"Карева, Юнона Ильинична"
