catalog,id,name,relationship,relative,relativename
Argentina,Q105969717,Martín Soria,father,Q176160,Carlos Soria
Argentina,Q105969717,Martín Soria,mother,Q17630853,Susana Freydoz
Argentina,Q105969717,Martín Soria,sibling,Q21856280,María Emilia Soria
Argentina,Q107736916,Enrique Estévez,father,Q9001319,Guillermo Estévez Boero
Argentina,Q107802947,Nicolás Rodríguez Saá,partner,Q21856142,Ana Carolina Gaillard
Argentina,Q108386730,Martín Berhongaray,father,Q18745601,Antonio Tomás Berhongaray
Argentina,Q110249925,Gabriela Brouwer de Koning,father,Q112619826,Luis Brouwer de Koning
Argentina,Q111492729,José María Torello,sibling,Q21856289,Pablo Torello
Argentina,Q11184187,Rogelio Frigerio,father,Q47436405,Octavio Frigerio
Argentina,Q11184187,Rogelio Frigerio,relative,Q7357722,Rogelio Julio Frigerio
Argentina,Q1162679,Daniel Scioli,spouse,Q20017020,Karina Rabolini
Argentina,Q1162679,Daniel Scioli,spouse,Q20017020,Karina Rabolini
Argentina,Q1261399,Ricardo Alfonsín,father,Q193062,Raúl Alfonsín
Argentina,Q1261399,Ricardo Alfonsín,mother,Q6004142,María Lorenza Barreneche
Argentina,Q1403237,Felipe Solá,sibling,Q55470217,Dolores Solá
Argentina,Q15719117,Máximo Kirchner,father,Q170899,Néstor Kirchner
Argentina,Q15719117,Máximo Kirchner,mother,Q40649,Cristina Fernández de Kirchner
Argentina,Q15719117,Máximo Kirchner,sibling,Q15719141,Florencia Kirchner
Argentina,Q16300546,Claudia Ledesma Abdala de Zamora,spouse,Q4838698,Gerardo Zamora
Argentina,Q16302727,Rodolfo Urtubey,sibling,Q2836462,Alejandro Urtubey
Argentina,Q16302727,Rodolfo Urtubey,sibling,Q4122243,Juan Manuel Urtubey
Argentina,Q16566094,Facundo Moyano,father,Q3297245,Hugo Moyano
Argentina,Q16599648,Mariano Recalde,father,Q5906382,Héctor Recalde
Argentina,Q16913151,Sandra Mendoza,spouse,Q4837917,Jorge Capitanich
Argentina,Q170899,Néstor Kirchner,child,Q15719117,Máximo Kirchner
Argentina,Q170899,Néstor Kirchner,child,Q15719141,Florencia Kirchner
Argentina,Q170899,Néstor Kirchner,sibling,Q440580,Alicia Kirchner
Argentina,Q170899,Néstor Kirchner,spouse,Q40649,Cristina Fernández de Kirchner
Argentina,Q1710644,Juan Schiaretti,spouse,Q47142712,Alejandra María Vigo
Argentina,Q176160,Carlos Soria,child,Q105969717,Martín Soria
Argentina,Q176160,Carlos Soria,child,Q21856280,María Emilia Soria
Argentina,Q176160,Carlos Soria,spouse,Q17630853,Susana Freydoz
Argentina,Q17624215,Pablo Tonelli,father,Q5908271,Ideler Tonelli
Argentina,Q185107,Carlos Menem,child,Q15719712,Carlos Nair Menem Meza
Argentina,Q185107,Carlos Menem,child,Q5391028,Carlos Saúl Facundo Menem
Argentina,Q185107,Carlos Menem,child,Q8075121,Zulema María Eva Menem
Argentina,Q185107,Carlos Menem,sibling,Q5340693,Eduardo Menem
Argentina,Q185107,Carlos Menem,spouse,Q270002,Cecilia Bolocco
Argentina,Q185107,Carlos Menem,spouse,Q5551980,Zulema Yoma
Argentina,Q18711856,Adolfo Bermejo,spouse,Q7416806,Sandra Zapata
Argentina,Q18711860,Salvador Cabral,spouse,Q8078208,Élida Vigo
Argentina,Q18711932,Carmen Lucila Crexell,mother,Q9025653,Luz Sapag
Argentina,Q19006869,Agustín Rossi,child,Q56155641,Delfina Rossi
Argentina,Q19263817,Felipe Rodolfo Sapag,father,Q5368671,Elías Sapag
Argentina,Q193062,Raúl Alfonsín,child,Q1261399,Ricardo Alfonsín
Argentina,Q193062,Raúl Alfonsín,spouse,Q6004142,María Lorenza Barreneche
Argentina,Q19760254,Raúl Jalil,spouse,Q47142422,Silvana Micaela Ginocchio
Argentina,Q20645466,Juliana Awada,father,Q20652388,Abraham Awada
Argentina,Q20645466,Juliana Awada,sibling,Q4714486,Alejandro Awada
Argentina,Q20645466,Juliana Awada,spouse,Q21558403,Gustavo Capello
Argentina,Q20645466,Juliana Awada,spouse,Q561837,Mauricio Macri
Argentina,Q20737416,Juan Fernando Brügge,relative,Q272702,Laura Vicuña
Argentina,Q21280633,Ramiro Tagliaferro,spouse,Q6782004,María Eugenia Vidal
Argentina,Q2130489,Ramón Javier Mestre,father,Q6959980,Ramón Mestre
Argentina,Q21558292,Carolina Stanley,spouse,Q28861753,Federico Salvai
Argentina,Q21856082,Remo Carlotto,mother,Q299652,Estela Barnes de Carlotto
Argentina,Q21856142,Ana Carolina Gaillard,partner,Q107802947,Nicolás Rodríguez Saá
Argentina,Q21856173,Marco Lavagna,father,Q2832959,Roberto Lavagna
Argentina,Q21856194,Diego Matías Mestre,father,Q6959980,Ramón Mestre
Argentina,Q21856214,Cecilia Moreau,father,Q5973474,Leopoldo Moreau
Argentina,Q21856214,Cecilia Moreau,sibling,Q107105774,Carmela Moreau
Argentina,Q21856258,María Fernanda Raverta,father,Q22006982,Mario Montoto
Argentina,Q21856277,Alejandro Francisco Snopek,father,Q63996812,Carlos Daniel Snopek
Argentina,Q21856278,Guillermo Snopek,father,Q5888526,Guillermo Eugenio Snopek
Argentina,Q21856280,María Emilia Soria,father,Q176160,Carlos Soria
Argentina,Q21856280,María Emilia Soria,mother,Q17630853,Susana Freydoz
Argentina,Q21856280,María Emilia Soria,sibling,Q105969717,Martín Soria
Argentina,Q21856289,Pablo Torello,sibling,Q111492729,José María Torello
Argentina,Q2324263,Abel Posse,child,Q52889259,Iván Parentini-Langenheim
Argentina,Q2347235,Antonio Cafiero,child,Q2841182,Mario Cafiero
Argentina,Q2347235,Antonio Cafiero,child,Q6300652,Juan Pablo Cafiero
Argentina,Q23906959,Magdalena Sierra,spouse,Q5935055,Jorge Ferraresi
Argentina,Q24821342,Mariana Zuvic,spouse,Q5819618,Eduardo Raúl Costa
Argentina,Q2642828,Alberto Fernández,child,Q79075662,Tani Fernández
Argentina,Q2642828,Alberto Fernández,partner,Q72756276,Fabiola Yáñez
Argentina,Q28058759,Nicolás Dujovne,father,Q17622748,Berardo Dujovne
Argentina,Q2841182,Mario Cafiero,father,Q2347235,Antonio Cafiero
Argentina,Q2841182,Mario Cafiero,sibling,Q6300652,Juan Pablo Cafiero
Argentina,Q2843714,Horacio Rodríguez Larreta,spouse,Q21651660,Bárbara Diez
